Match_No,Runs,Opponent,Ground,Date,Match_Type
1,12,SriLanka,Dambulla,18-Aug-08,ODI
2,37,SriLanka,Dambulla,20-Aug-08,ODI
3,25,SriLanka,Colombo(RPS),24-Aug-08,ODI
4,54,SriLanka,Colombo(RPS),27-Aug-08,ODI
5,31,SriLanka,Colombo(RPS),29-Aug-08,ODI
6,2,SriLanka,Colombo(RPS),14-Sep-09,ODI
7,16,Pakistan,Centurion,26-Sep-09,ODI
8,79,WestIndies,Johannesburg,30-Sep-09,ODI
9,30,Australia,Vadodara,25-Oct-09,ODI
10,10,Australia,Mohali,02-Nov-09,ODI
11,27,SriLanka,Rajkot,15-Dec-09,ODI
12,54,SriLanka,Nagpur,18-Dec-09,ODI
13,107,SriLanka,Kolkata,24-Dec-09,ODI
14,9,SriLanka,Mirpur,05-Jan-10,ODI
15,91,Bangladesh,Mirpur,07-Jan-10,ODI
16,71,SriLanka,Mirpur,10-Jan-10,ODI
17,102,Bangladesh,Mirpur,11-Jan-10,ODI
18,2,SriLanka,Mirpur,13-Jan-10,ODI
19,31,South Africa,Jaipur,21-Feb-10,ODI
20,57,South Africa,Ahmedabad,27-Feb-10,ODI
21,0,Zimbabwe,Bulawayo,28-May-10,ODI
22,82,SriLanka,Bulawayo,30-May-10,ODI
23,18,Zimbabwe,Harare,03-Jun-10,ODI
24,68,SriLanka,Harare,05-Jun-10,ODI
25,26,Zimbabwe,Harare,12-Jun-10,T20
26,11,Bangladesh,Dambulla,16-Jun-10,ODI
27,18,Pakistan,Dambulla,19-Jun-10,ODI
28,10,SriLanka,Dambulla,22-Jun-10,ODI
29,28,SriLanka,Dambulla,24-Jun-10,ODI
30,0,SriLanka,Dambulla,16-Aug-10,ODI
31,8,New Zealand,Dambulla,25-Aug-10,ODI
32,37,SriLanka,Dambulla,28-Aug-10,ODI
33,118,Australia,Visakhapatnam,20-Oct-10,ODI
34,105,New Zealand,Guwahati,28-Nov-10,ODI
35,64,New Zealand,Jaipur,01-Dec-10,ODI
36,63,New Zealand,Vadodara,04-Dec-10,ODI
37,0,New Zealand,Bengaluru,07-Dec-10,ODI
38,2,New Zealand,Chennai,10-Dec-10,ODI
39,28,South Africa,Durban,09-Jan-11,T20
40,54,South Africa,Durban,12-Jan-11,ODI
41,22,South Africa,Johannesburg,15-Jan-11,ODI
42,28,South Africa,CapeTown,18-Jan-11,ODI
43,87,South Africa,Gqeberha,21-Jan-11,ODI
44,2,South Africa,Centurion,23-Jan-11,ODI
45,100,Bangladesh,Mirpur,19-Feb-11,ODI
46,8,England,Bengaluru,27-Feb-11,ODI
47,34,Ireland,Bengaluru,06-Mar-11,ODI
48,12,Netherlands,Delhi,09-Mar-11,ODI
49,1,South Africa,Nagpur,12-Mar-11,ODI
50,59,WestIndies,Chennai,20-Mar-11,ODI
51,24,Australia,Ahmedabad,24-Mar-11,ODI
52,9,Pakistan,Mohali,30-Mar-11,ODI
